                                   Number of sites 48.0000000
                                              dtau  0.0625000
                                              beta 16.0000000
                                                 L 256.0000000
                                                 t  1.0000000
                                                 U  1.0000000
                                                mu 12.6000000
                               Number of MC Sweeps 2048.0000000
                        Frequency of recomputing G  4.0000000
       Number of multiplied Bs after stabilization 64.0000000
                                          Geometry 15.0000000
                                                Ny  4.0000000
