                              Electron density <n>  1.0000000
                                              d<n>  0.0000000
                          Double occupancy <n+ n->  0.1363617
                                          d<n+ n->  0.0001236
                            ZZ AF Structure Factor  1.4140556
                            Sq.Magnetization <m^2>  0.7272766
                                              Hkin -1.7366974
                                             dHkin  0.00136517
                                              Hint  0.5454467
                                                 E -1.1912506
                                  Average sign <s>  1.0000000
