                             Electron density <n>, 1.0000000
                                             d<n>, 0.0000000
                         Double occupancy <n+ n->, 0.1330560
                                         d<n+ n->, 0.0002251
                           ZZ AF Structure Factor, 1.5911919
                           Sq.Magnetization <m^2>, 0.7338881
                                           d<m^2>, 0.0024827
                                             Hkin,-1.2501297
                                            dHkin, 0.0026294
                                             Hint, 0.5322238
                                                E, 1.2820941
                                 Average sign <s>, 1.0000000
