                             Electron density <n>, 1.0000000
                                             d<n>, 0.0000000
                         Double occupancy <n+ n->, 0.1327780
                                         d<n+ n->, 0.0001512
                           ZZ AF Structure Factor, 3.3536314
                           Sq.Magnetization <m^2>, 0.7344439
                                           d<m^2>, 0.0016727
                                             Hkin,-1.3381605
                                            dHkin, 0.0022239
                                             Hint, 0.5311121
                                                E, 1.1929516
                                 Average sign <s>, 1.0000000
