                             Electron density <n>,-0.0107295
                                             d<n>,       nan
                         Double occupancy <n+ n->,-0.0009998
                                         d<n+ n->,       nan
                           ZZ AF Structure Factor,-0.0087298
                           Sq.Magnetization <m^2>,-0.0087298
                                           d<m^2>,       nan
                                             Hkin, 0.4523398
                                            dHkin,       nan
                                             Hint,-0.0249960
                                                E, 0.2932252
                                 Average sign <s>,-0.0625000
