                             Electron density <n>, 1.0000000
                                             d<n>,       nan
                         Double occupancy <n+ n->, 0.0991746
                                         d<n+ n->, 0.0001056
                           ZZ AF Structure Factor, 2.9596709
                           Sq.Magnetization <m^2>, 0.8016507
                                           d<m^2>,       nan
                                             Hkin,-0.9791369
                                            dHkin, 0.0009136
                                             Hint, 0.3966985
                                                E, 1.4175616
                                 Average sign <s>, 1.0000000
