                             Electron density <n>, 1.0000000
                                             d<n>,       nan
                         Double occupancy <n+ n->, 0.1094585
                                         d<n+ n->, 0.0013731
                           ZZ AF Structure Factor, 0.9794532
                           Sq.Magnetization <m^2>, 0.7810829
                                           d<m^2>,       nan
                                             Hkin,-0.6229088
                                            dHkin, 0.0072936
                                             Hint, 0.4378342
                                                E, 1.8149254
                                 Average sign <s>, 1.0000000
