                                  Number of sites, 96.0000000
                                             dtau, 0.0625000
                                             beta, 0.2500000
                                                L, 4.0000000
                                                t, 1.0000000
                                                U, 20.0000000
                                               mu, 1.8000000
                              Number of MC Sweeps, 512.0000000
                       Frequency of recomputing G, 4.0000000
      Number of multiplied Bs after stabilization, 1.0000000
                                         Geometry, 15.0000000
                                               Ny, 4.0000000
