                             Electron density <n>, 1.0000000
                                             d<n>, 0.0000000
                         Double occupancy <n+ n->, 0.0940768
                                         d<n+ n->, 0.0001353
                           ZZ AF Structure Factor, 2.5161845
                           Sq.Magnetization <m^2>, 0.8118464
                                           d<m^2>, 0.0023354
                                             Hkin,-0.9590315
                                            dHkin, 0.0012048
                                             Hint, 0.3763072
                                                E, 1.4172757
                                 Average sign <s>, 1.0000000
