                                  Number of sites, 36.0000000
                                             dtau, 0.0312500
                                             beta, 4.0000000
                                                L, 128.0000000
                                                t, 1.0000000
                                                U, 15.0000000
                                               mu, 3.4900000
                              Number of MC Sweeps, 512.0000000
                       Frequency of recomputing G, 4.0000000
      Number of multiplied Bs after stabilization, 32.0000000
                                         Geometry, 15.0000000
                                               Ny, 3.0000000
