                                  Number of sites, 64.0000000
                                             dtau, 0.0625000
                                             beta, 4.0000000
                                                L, 64.0000000
                                                t, 1.0000000
                                                U, 2.0000000
                                               mu, 0.0000000
                              Number of MC Sweeps, 2048.0000000
                       Frequency of recomputing G, 4.0000000
      Number of multiplied Bs after stabilization, 16.0000000
                                         Geometry, 10.0000000
                                               Ny, 4.0000000
