                                  Number of sites, 4.0000000
                                             dtau, 0.0625000
                                             beta, 8.0000000
                                                L, 128.0000000
                                                t, 1.0000000
                                                U, 4.0000000
                                               mu, 0.6000000
                              Number of MC Sweeps, 5096.0000000
                       Frequency of recomputing G, 4.0000000
      Number of multiplied Bs after stabilization, 32.0000000
                                         Geometry, 1.0000000
                                               Ny, 0.0000000
