                                   Number of sites 192.0000000
                                              dtau  0.0625000
                                              beta 10.0000000
                                                 L 160.0000000
                                                 t  1.0000000
                                                 U 16.0000000
                                                mu  3.5000000
                               Number of MC Sweeps 2048.0000000
                        Frequency of recomputing G  4.0000000
       Number of multiplied Bs after stabilization 40.0000000
                                          Geometry 15.0000000
                                                Ny  4.0000000
