                             Electron density <n>, 1.0000000
                                             d<n>, 0.0000000
                         Double occupancy <n+ n->, 0.1246552
                                         d<n+ n->, 0.0005207
                           ZZ AF Structure Factor, 2.7188205
                           Sq.Magnetization <m^2>, 0.7506897
                                           d<m^2>, 0.0062716
                                             Hkin,-1.3125104
                                            dHkin, 0.0070029
                                             Hint, 0.4986206
                                                E, 1.1861103
                                 Average sign <s>, 1.0000000
