                             Electron density <n>, 1.0000000
                                             d<n>, 0.0000000
                         Double occupancy <n+ n->, 0.0991543
                                         d<n+ n->, 0.0000771
                           ZZ AF Structure Factor, 3.2722724
                           Sq.Magnetization <m^2>, 0.8016913
                                           d<m^2>, 0.0012461
                                             Hkin,-0.9751177
                                            dHkin, 0.0006580
                                             Hint, 0.3966174
                                                E, 1.4214997
                                 Average sign <s>, 1.0000000
